"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"1036","President George Bush","His Excellency Ali Abdullah Saleh, President of the Republic of Yemen.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry (5): silver rings with agate; held in wooden box","Archives Foreign.","300","2007-05-01","Yemen"
"1037","President George Bush","His Excellency Ali Abdullah Saleh, President of the Republic of Yemen.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Weapon: 25″ silver sword with curved blade adorned with elaborate detailing and carnelian stones","Archives Foreign.","1500","2007-05-01","Yemen"
"1038","President George Bush","His Excellency Shinzo Abe, Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: off-white and beige ceramic vase","Archives Foreign.","350","2007-04-26","New Zealand"
"1039","President George Bush","His Excellency Shinzo Abe, Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Collectable: NPB Official Game Ball baseball inscribed by donor","Archives Foreign.","400","2007-04-26","New Zealand"
"1040","President George Bush","His Excellency Oscar Berger Perdomo, President of the Republic of Guatemala.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: round green ceramic plate with tribal design; matted and held in gold-painted wooden frame","Archives Foreign.","349","2007-03-12","Guatemala"
"1041","President George Bush","The Honorable Patricio Patron Laviada, Governor of the State of Yucatan, Mexico.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing (2): guayaberas shirts, one with long-sleeves and one with short sleeves","President retained.","268","2007-03-09","Mexico"
"1042","President George Bush","The Honorable Patricio Patron Laviada, Governor of the State of Yucatan, Mexico.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing (2): guayaberas shirts, one with long-sleeves and one with short sleeves","Archives Foreign.","268","2007-03-09","Mexico"
"1043","President George Bush","His Excellency Dr. Tabaré Vazquez, President of the Oriental Republic of Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork (in Spanish): print entitled ‘‘Museo Municipal de Bellas Artes Juan Manuel Blanes,’’ featuring two cowboys riding horseback through countryside","Archives Foreign.","6","2007-03-10","Uruguay"
"1044","President George Bush","His Excellency Dr. Tabaré Vazquez, President of the Oriental Republic of Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Books, hardcover (2, in Spanish): ‘‘Antiguas Estancias del Uruguay: Historia Produccion,’’ by Ana Ines Zerbino Vanrell and Jose Victor Zerbino Vanrell and ‘‘Antiguas Estancias del Uruguay II: Historia Produccion,’’ by Javier Pastoriza and Miguel Alvarez Montero in custom leather-covered box","Archives Foreign.","80","2007-03-10","Uruguay"
"1045","President George Bush","His Excellency Dr. Tabaré Vazquez, President of the Oriental Republic of Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: black and white drawings of different styles of boots and spurs, held in leather portfolio","Archives Foreign.","309","2007-03-10","Uruguay"
"1046","President George Bush","His Excellency Dr. Tabaré Vazquez, President of the Oriental Republic of Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: pair of antique wooden and animal hide boots with fur cuffs","Archives Foreign.","400","2007-03-10","Uruguay"
"1047","President George Bush","His Excellency Dr. Tabaré Vazquez, President of the Oriental Republic of Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: leather and pewter chain gaucho belt with gold-tone accents","Archives Foreign.","310","2007-03-10","Uruguay"
"1048","President George Bush","His Excellency Dr. Tabaré Vazquez, President of the Oriental Republic of Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: black wool poncho embroidered with ‘‘G.W. Bush’’ and images of intertwined American and Uruguayan flags","Archives Foreign.","353","2007-03-10","Uruguay"
"1049","President George Bush","Her Excellency Dora Bakoyianni, Minister of Foreign Affairs of the Hellenic Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: gold-tone Greek wreath","Archives Foreign.","548","2007-03-23","Greece"
"1050","President George Bush","His Excellency Jose Serra, Governor of the State of São Paulo, Brazil.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory (2): Chapeus Cury black cowboy hat and Chapeus Cury brown classic hat","Archives Foreign.","765","2007-03-09","Brazil"
"1051","President George Bush","His Excellency Marouf Bakhet, Prime Minister of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: handmade Bani Hamida tribal wall-hanging featuring assorted shades of blue woven sheep’s wool triangles strung together with blue beads and tassles; hung on black iron sconce","Archives Foreign.","450","2007-01-05","Jordan"
"1052","First Lady Laura Bush","The Custodian of the Two Holy Mosques King Abdullah Bin Abdul Aziz Al Saud, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: sapphire and diamond necklace, bracelet, earrings, and ring jewelry set; held in green leather box","Archives Foreign.","85000","2007-10-23","United Arab Emirates"
"1053","First Lady Laura Bush","The Custodian of the Two Holy Mosques King Abdullah Bin Abdul Aziz Al Saud, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: desert scene with bedouins, camels, and tent made of gold; resting on large jasper slab; held in green leather case","Archives Foreign.","10000","2007-10-23","United Arab Emirates"
"1054","First Lady Laura Bush","Mrs. Bernadette Chirac, Spouse of the President of French Republic, Paris, France.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: purple silk Yves Saint Laurent tote bag with gold-tone handware decorated with crystals; includes an ID tag","Archives Foreign.","2195","2007-01-17","France"
"1055","First Lady Laura Bush","Mrs. Maria Auxiliadora Delgado de Vazquez, Spouse of the President of the Oriental Republic of Uruguay, Montevideo, Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Collectable: amethyst mineral specimen from Uruguay","Archives Foreign.","25","2007-03-10","Uruguay"
"1056","First Lady Laura Bush","Mrs. Maria Auxiliadora Delgado de Vazquez, Spouse of the President of the Oriental Republic of Uruguay, Montevideo, Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: wooden tea box with the Ceibo flower burned and painted with red, pink, and green wax colors along the leather cover","Archives Foreign.","30","2007-03-10","Uruguay"
"1057","First Lady Laura Bush","Mrs. Maria Auxiliadora Delgado de Vazquez, Spouse of the President of the Oriental Republic of Uruguay, Montevideo, Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, hardcover: ‘‘Colonia del Sacramento: Patrimonio Mundial, World Heritage,’’ published by UNESCO","Archives Foreign.","30","2007-03-10","Uruguay"
"1058","First Lady Laura Bush","Mrs. Maria Auxiliadora Delgado de Vazquez, Spouse of the President of the Oriental Republic of Uruguay, Montevideo, Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: beige wool ruana with leather design along the back","Archives Foreign.","250","2007-03-10","Uruguay"
"1059","First Lady Laura Bush","Mrs. Maria Auxiliadora Delgado de Vazquez, Spouse of the President of the Oriental Republic of Uruguay, Montevideo, Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Flowers: floral arrangement","Handled Pursuant to Secret Service Policy.","40","2007-03-10","Uruguay"
"1060","First Lady Laura Bush","Mrs. Maria Auxiliadora Delgado de Vazquez, Spouse of the President of the Oriental Republic of Uruguay, Montevideo, Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables (36): Uruguayan herbal tea-bags","Handled Pursuant to Secret Service Policy.","5","2007-03-10","Uruguay"
"1061","First Lady Laura Bush","The Honorable Patricio Patron Laviada, Governor of the State of Yucatan, Mexico.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: sterling silver filigree flower earrings and matching brooch; held in an off-white stone box stamped with ‘‘Yucatan’’ and symbol","Archives Foreign.","203","2007-03-09","Mexico"
"1062","First Lady Laura Bush","The Honorable Patricio Patron Laviada, Governor of the State of Yucatan, Mexico.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: off-white stone box stamped with ‘‘Yucatan’’ and symbol","Archives Foreign.","65","2007-03-09","Mexico"
"1063","First Lady Laura Bush","The Honorable Patricio Patron Laviada, Governor of the State of Yucatan, Mexico.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk Accessory: 6″ sterling silver filigree letter opener","Archives Foreign.","38","2007-03-09","Mexico"
"1064","First Lady Laura Bush","The Honorable Arturo Sarukan, Ambassador of Mexico to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, hardcover: ‘‘Mexico: The Revolution and Beyond,’’ by Pete Hamill and photographed by Agustin Victor Casasola","Archives Foreign.","50","2007-05-15","United Kingdom of Great Britain and Northern Ireland"
"1065","First Lady Laura Bush","The Honorable Arturo Sarukan, Ambassador of Mexico to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, hardcover: ‘‘Hispanic Heritage at the Smithsonian: Decade of Latino Initiatives,’’ published by the Smithsonian Latino Center","Archives Foreign.","30","2007-05-15","United Kingdom of Great Britain and Northern Ireland"
"1066","First Lady Laura Bush","The Honorable Arturo Sarukan, Ambassador of Mexico to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: red, black, and white Pineda Covalin shawl with large floral print silk on one side and black velvet on reverse","Archives Foreign.","225","2007-05-15","United Kingdom of Great Britain and Northern Ireland"
"1067","First Lady Laura Bush","Her Majesty Queen Elizabeth II and His Royal Highness The Prince Phillip, Duke of Edinburgh, London, United Kingdom.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Houshold Item: gold clock with Royal Seal by William and Son","Archives Foreign.","850","2007-05-07","United Kingdom of Great Britain and Northern Ireland"
"1068","First Lady Laura Bush","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Items (2): red, white, and blue handmade pillows embroidered with American flag designs; one embroidered with ‘‘Barney’’ and an image of Barney and one with ‘‘Beazley’’ and an image of Miss Beazley","Archives Foreign.","100","2007-04-26","Japan"
"1069","First Lady Laura Bush","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Toy: 12″ stuffed black fleece Scottie dog with beaded American flag collar","Archives Foreign.","100","2027-04-26","Japan"
"1070","First Lady Laura Bush","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: porcelain hinged Limoges box with ormolu trim and hand-painted images of Barney and Miss Beazley; painted by Kiyoe Seno","Archives Foreign.","700","2027-04-26","Japan"
"1071","First Lady Laura Bush","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: black lacquered tray with gold-tone leaf designs around the outside edge and ‘‘Laura’’ on bottom","Archives Foreign.","134","2007-04-26","Japan"
"1072","First Lady Laura Bush","His Excellency Jiri Paroubek, Chairman of Czech Social Democratic Party, Czech Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: 3″ gold lapel pin with garnet stones","Archives Foreign.","300","2007-06-06","Czech Republic"
"1073","First Lady Laura Bush","His Excellency Jiri Paroubek, Chairman of Czech Social Democratic Party, Czech Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, softcover: ‘‘Guide to Prague and Towns Across the Czech Republic.’’","Archives Foreign.","15","2007-06-06","Czech Republic"
"1074","First Lady Laura Bush","The Right Honorable Nikola Gruevski, Prime Minister of the Republic of Macedonia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: gold and red butterfly; held in wooden frame","Archives Foreign.","410","2007-06-10","Republic of Macedonia"
"1075","First Lady Laura Bush","Mrs. Cherie Blair, Spouse of the Prime Minister of the United Kingdom, London, United Kingdom.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: black leather strawprinted Tanner Krolle handbag with signature circle and square silver-tone fastener and three pockets inside","Archives Foreign.","1206","2007-06-09","United Kingdom of Great Britain and Northern Ireland"
"1076","First Lady Laura Bush","Mrs. Aliza Olmert, Spouse of the Prime Minister of Israel.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Holiday Item: silver menorah designed by Zelig Segal","Archives Foreign.","500","2007-06-19","Israel"
"1077","First Lady Laura Bush","His Excellency Ali Abdullah Saleh, President of the Republic of Yemen.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: coral and sterling silver jewelry set with filigree accents including dangle earrings, bracelet, necklace, and ring; held in wooden box","Archives Foreign.","446","2007-05-02","Yemen"
"1078","First Lady Laura Bush","His Excellency Ali Abdullah Saleh, President of the Republic of Yemen.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: four sterling silver filigree rings two with opal stones and two with coral stones and sterling silver lapel pin in the shape of scabbard and sheath; held in wooden box","Archives Foreign.","224","2007-05-02","Yemen"
"1079","First Lady Laura Bush","Mrs. Livia Klausova, Spouse of the President of the Czech Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: Moser crystal vase with intricate cross-cut filigree texture and gilded 24k gold borders embossed with palmettes and acanthus scroll designs","Archives Foreign.","1150","2007-06-05","Czech Republic"
"1080","First Lady Laura Bush","Mrs. Shamim Jawad, Spouse of the Afghan Ambassador to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: women’s black calf length wool chapan with red buttons and red, pink, and gold floral design","Archives Foreign.","800","2007-08-05","Afghanistan"
"1081","First Lady Laura Bush","Mrs. Maureen Mwanawasa, Spouse of the President of the Republic of Zambia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: copper portrait featuring three-dimensional elephant with handpainted African scenery, includes an engraved copper presentation plate; held in wood frame","Archives Foreign.","300","2007-06-28","Zambia"
"1082","First Lady Laura Bush","Mrs. Maureen Mwanawasa, Spouse of the President of the Republic of Zambia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: wooden wall clock in the shape of Africa with handpainted copper front with African scenery and three-dimensional copper elephants and Zambian-shaped copper piece","Archives Foreign.","400","2007-06-28","Zambia"
"1083","First Lady Laura Bush","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory (2): E. Marinella scarves; one beige and brown; one brown with colorful flowers","Archives Foreign.","490","2007-06-26","Italy"
"1084","First Lady Laura Bush","His Excellency Vladimir Putin, Chairman of the Government of the Russian Federation.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: oil on canvas painting of wild flowers; held in wooden frame","Archives Foreign.","350","2007-07-01","Russia"
"1085","First Lady Laura Bush","His Excellency Nguyen Minh Triet, President of the Socialist Republic of Vietnam.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: stone mosaic of Mrs. Bush with gold-tone presentation plate; matted and held in goldtone baroque frame","Archives Foreign.","800","2007-06-22","Vietnam"
"1086","First Lady Laura Bush","Mrs. Flavia Prodi, Spouse of the President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, softcover (in Italian): ‘‘Villa Pamphilj,’’ by Fiorenzo Catalli and Mauro Petrecca","Archives Foreign.","20","2007-06-09","Italy"
"1087","First Lady Laura Bush","Mrs. Flavia Prodi, Spouse of the President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: black alligator leather Tod’s handbag","Archives Foreign.","1650","2007-06-09","Italy"
"1088","First Lady Laura Bush","Ms. Mirela Moisiu, Daughter of the President of the Republic of Albania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: sterling silver filigree footed jewelry box with silver presentation plate","Archives Foreign.","350","2007-06-10","Albania"
"1089","First Lady Laura Bush","Ms. Mirela Moisiu, Daughter of the President of the Republic of Albania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Books, softcover (6): ‘‘The Pyramid,’’ ‘‘Spring Flowers, Spring Frost,’’ ‘‘The Three-Arched Bridge,’’ ‘‘The File on H,’’ ‘‘The General of the Dead Army,’’ and ‘‘The Palace of Dreams,’’ by Ismail Kadare","Archives Foreign.","78","2007-06-10","Albania"
"1090","First Lady Laura Bush","Ms. Mirela Moisiu, Daughter of the President of the Republic of Albania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Books, hardcover (3): ‘‘Agamemnon’s Daughter,’’ ‘‘The Successor,’’ and ‘‘Elegy for Kosovo,’’ by Ismail Kadare","Archives Foreign.","66","2007-06-10","Albania"
"1091","First Lady Laura Bush","His Excellency Gurbanguly Berdimuhammedov, President of Turkmenistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: silver earrings with turquoise and cornelian stones","Archives Foreign.","120","2007-09-26","Turkmenistan"
"1092","First Lady Laura Bush","His Excellency Gurbanguly Berdimuhammedov, President of Turkmenistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: silver ring with turquoise and cornelian stones","Archives Foreign.","120","2007-09-26","Turkmenistan"
"1093","First Lady Laura Bush","His Excellency Gurbanguly Berdimuhammedov, President of Turkmenistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: silver necklace with turquoise and cornelian stones","Archives Foreign.","435","2007-09-26","Turkmenistan"
"1094","First Lady Laura Bush","The Honorable Morris Iemma, State Premier and Minister for Citizenship, Australia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: cobalt glass plate with sterling silver gumleaf design","Archives Foreign.","308","2007-09-07","Australia"
"1095","First Lady Laura Bush","His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: gold embroidered silk ethnic shoes with turned up toe and leather lining","Archives Foreign.","38","2007-08-05","Afghanistan"
"1096","First Lady Laura Bush","His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: light blue two piece Kurti set; front of top is embroidered with beige silk alternating square patterns","Archives Foreign.","200","2007-08-05","Afghanistan"
"1097","First Lady Laura Bush","His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: beige two piece Kurti set; front of top is embroidered with beige silk alternating square patterns","Archives Foreign.","200","2007-08-05","Afghanistan"
"1098","First Lady Laura Bush","His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: purple, green, pink and beige striped Dupioni raw silk coat with purple silk lining and embroidery work on collar and cuffs","Archives Foreign.","500","2007-08-05","Afghanistan"
"1099","First Lady Laura Bush","His Excellency N. Enkhbayar, President of Mongolia, and Mrs. O. Tsolmon.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: blue cashmere sweater with silk lining","Archives Foreign.","1000","2007-10-22","Mongolia"
"1100","First Lady Laura Bush","Her Excellency Nouriya Al-Sabih, Minister of Education and Higher Education, Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: friendship flag brooch with jewels","Archives Foreign.","1150","2007-10-24","Kuwait"
"1101","First Lady Laura Bush","His Holiness The Dalai Lama","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables: assortment of various nuts and dried fruit","Handled Pursuant to Secret Service Policy.","6","2007-10-16","na"
"1102","First Lady Laura Bush","His Holiness The Dalai Lama","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household: silver and gold Tibetan butter lamp","Archives Foreign.","750","2007-10-16","na"
"1103","First Lady Laura Bush","Mrs. Hero Ibrahim Ahmed, Spouse of the President of The Republic of Iraq.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: multi-colored hand-crafted Kurdish rug","Archives Foreign.","450","2007-10-05","Iraq"
"1104","First Lady Laura Bush","Mrs. Hero Ibrahim Ahmed, Spouse of the President of The Republic of Iraq.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: ivory, tan, and dark blue Kurdish ‘‘Khurg’’ bag","Archives Foreign.","75","2007-10-05","Iraq"
"1105","First Lady Laura Bush","Mrs. Toure Lobbo Traore, Spouse of the President of the Republic of Mali.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: silver necklace with large black beads and large black pendant","Archives Foreign.","100","2007-09-27","Mali"
"1106","First Lady Laura Bush","Mrs. Toure Lobbo Traore, Spouse of the President of the Republic of Mali.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Fabric: blue and green fabric with plastic coating","Archives Foreign.","65","2007-09-27","Mali"
"1107","First Lady Laura Bush","Mrs. Toure Lobbo Traore, Spouse of the President of the Republic of Mali.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Fabric: orange and green fabric with plastic coating","Archives Foreign.","65","2007-09-27","Mali"
"1108","First Lady Laura Bush","Mrs. Toure Lobbo Traore, Spouse of the President of the Republic of Mali.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: multi-colored basket with leather strap","Archives Foreign.","140","2007-09-27","Mali"
"1109","First Lady Laura Bush","Mrs. Toure Lobbo Traore, Spouse of the President of the Republic of Mali.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: straw basket","Archives Foreign.","30","2007-09-27","Mali"
"1110","First Lady Laura Bush","Mrs. Clio Bittoni Napolitano, Spouse of the President of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: 2″ gold brooch with coral center; held in orange leather case","Archives Foreign.","2000","2007-12-11","Italy"
"1111","First Lady Laura Bush","Lady Catherine Meyer, Spouse of the British Ambassador to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: set of sterling silver wine glass charms by Asprey","Archives Foreign.","510","2007-12-07","Scotland"
"1112","First Lady Laura Bush","His Majesty Mohammed, King of Morocco.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Flowers: 50 yellow roses and orchids","Handled Pursuant to Secret Service Policy.","400","2007-11-05","Morocco"
"1113","First Lady Laura Bush","His Majesty Mohammed, King of Morocco.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables (30): boxes of assorted Godiva chocolate","Handled Pursuant to Secret Service Policy.","1021","2007-11-05","Morocco"
"1114","First Lady Laura Bush","His Majesty Mohammed, King of Morocco.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: Shannon Crystal vase","Archives Foreign.","40","2007-11-05","Morocco"
"1115","First Lady Laura Bush","Mrs. Emine Erdogan, Spouse of the Prime Minister of the Republic of Turkey.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Flowers: floral arrangement","Handled Pursuant to Secret Service Policy.","175","2007-11-19","Turkey"
"1116","First Lady Laura Bush","Mrs. Emine Erdogan, Spouse of the Prime Minister of the Republic of Turkey.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, hardcover: ‘‘Contemporary Turkish Painting,’’ by New York State University At Binghamton","Personally Retained by the First Lady.","30","2007-11-19","Turkey"
"1117","First Lady Laura Bush","Mrs. Emine Erdogan, Spouse of the Prime Minister of the Republic of Turkey.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, hardcover: ‘‘Sanat Koleksiyonu 1, Volumes,’’ by Turkiye Cumhuriyet Merkez Bankasi/Central Bank of The Republic of Turkey","Archives Foreign.","300","2007-11-19","Turkey"
"1118","First Lady Laura Bush","His Highness Sheikh Nawaf AlAhmed Al-Jaber Al Sabah, Crown Prince of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: large ivory colored Persian wool rug","Archives Foreign.","2200","2007-10-25","Saba"
"1119","First Lady Laura Bush","His Highness Sheikh Nawaf AlAhmed Al-Jaber Al Sabah, Crown Prince of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: small ivory colored Persian wool and silk rug","Archives Foreign.","1600","2007-10-25","Saba"
"1120","First Lady Laura Bush","His Highness Sheikh Nawaf AlAhmed Al-Jaber Al Sabah, Crown Prince of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables: various perfumes and incense with burner; held in burgundy presentation box","Archives Foreign.","740","2007-10-25","Saba"
"1121","First Lady Laura Bush","Her Highness Sheikha Fatima Bint Mubarak, Chair, United Arab Emirates’ Womens Association, Embassy of the United Arab Emirates.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: large sterling silver model of Al Jahili Castle resting on circular lapis base; includes sterling silver and enamel flag that attaches to top of castle; held in red leather box in wood cabinet on wheels; made by Asprey","Archives Foreign.","12000","2007-10-22","United Arab Emirates"
"1122","First Lady Laura Bush","His Excellency Sheikh Nasser Mohammad Al Sabah, Prime Minister of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: collection of fragrance and incense with burner and lighter; held in wooden box","Archives Foreign.","740","2007-10-24","Saba"
"1123","First Lady Laura Bush","The Honorable Rasha Al-Sabah, Under Secretary of Higher Education of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables: perfume incense set","Handled Pursuant to Secret Service Policy.","740","2007-10-24","Saba"
"1124","First Lady Laura Bush","The Honorable Rasha Al-Sabah, Under Secretary of Higher Education of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: gold silk robe with green, brown, and orange designs","Archives Foreign.","120","2007-10-24","Saba"
"1125","First Lady Laura Bush","His Excellency Nicolas Sarkozy, Non-ac President of the French Republic. ba Go","ceptance would cause emrrassment to donor and U.S. vernment.","Household: crystal Baccarat wave bowl; held in red box","Archives Foreign.","6000","2007-11-06","France"
"1126","First Lady Laura Bush","Mrs. Hajiya Turai Yar’adua, Spouse of the President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk Accessory (2): small and medium desk trays with painting of three women","Archives Foreign.","125","2007-09-24","Niger"
"1127","First Lady Laura Bush","Mrs. Hajiya Turai Yar’adua, Spouse of the President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: burgundy leather chest","Archives Foreign.","85","2007-09-24","Niger"
"1128","First Lady Laura Bush","Mrs. Hajiya Turai Yar’adua, Spouse of the President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: ivory colored handmade two-piece outfit with red and green stitching; includes hat","Archives Foreign.","125","2007-09-24","Niger"
"1129","First Lady Laura Bush","Mrs. Hajiya Turai Yar’adua, Spouse of the President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: multicolored rug with fringe","Archives Foreign.","300","2007-09-24","Niger"
"1130","First Lady Laura Bush","Dr. Liri Rama Berisha, Spouse of the Prime Minister of the Republic of Albania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Items (7): silver filigree tray with six matching decorative goblets","Archives Foreign.","1263","2007-06-10","Albania"
"1131","First Lady Laura Bush","Dr. Liri Rama Berisha, Spouse of the Prime Minister of the Republic of Albania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: dark burgundy matador vest embellished with gold embroidery and tassels","Archives Foreign.","250","2007-06-10","Albania"
"1132","First Lady Laura Bush","Dr. Liri Rama Berisha, Spouse of the Prime Minister of the Republic of Albania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Items (7): light brown organza table cloth, table runner, and five napkins, each intricately embroidered with silvertone, copper-tone and brasstone designs, faux pearls, and metallic beads","Archives Foreign.","403","2007-06-10","Albania"
"1133","First Lady Laura Bush","Dr. Liri Rama Berisha, Spouse of the Prime Minister of the Republic of Albania.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: silver filigree wishing well; held in blue velvet box","Archives Foreign.","325","2007-09-24","Albania"
"1134","First Lady Laura Bush","His Excellency Georgi Purvanov, President of the Republic of Bulgaria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: ivory silk long-sleeved blouse embroidered with red, blue and green flowers","Archives Foreign.","150","2007-06-08","Bulgaria"
